sno,value,id,latitude,longitude,hasMenu,rating
250,5079,All Good Cafe,32.78431605,-96.7806673,TRUE,8.8
251,2731,CBD Provisions,32.78103288,-96.79832695,TRUE,8.3
252,6268,Buzzbrews,32.78333739,-96.78316712,TRUE,8.4
253,757,Baby Back Shak,32.76787931,-96.78991042,TRUE,8.3
254,2957,Chop House Burger,32.78072595,-96.79950399,TRUE,8.9
255,503,The French Room,32.77999542,-96.79973245,TRUE,8.1
256,1672,Cristina's Fine Mexican Restaurant,33.04745503,-97.12975703,TRUE,8.6
257,2465,Texas Roadhouse,33.03739,-97.07043,TRUE,8.1
258,2925,Anamia's,33.01194517,-97.07014635,TRUE,8.5
259,1083,Jersey Mike's Subs,33.03433906,-97.07116445,TRUE,7.9
260,256,Luna Grill,33.03566385,-97.06673219,TRUE,8.1
261,3124,Chick-fil-A Founders Square,33.01277,-97.07153,TRUE,9
262,1146,Fish City Grill,33.02219172,-97.07026541,TRUE,7.9
263,964,Zoës Kitchen,33.06591726,-97.08130451,TRUE,7.9
264,565,Noodle Swing Thai Cafe,33.035459,-97.07266255,TRUE,7.9
265,3288,Red Robin Gourmet Burgers,33.06395582,-97.07971788,TRUE,8
266,317,Nothing Bundt Cakes - Flower Mound,33.03513438,-97.07001069,TRUE,8.4
267,330,Starwood Cafe,33.06525461,-97.08074236,TRUE,8.2
268,774,Dickey's,33.03093445,-97.07022514,TRUE,7.8
269,687,la Madeleine,33.03584037,-97.06748868,TRUE,7.9
270,652,Enzo's NY Pizzeria,33.03832925,-97.05113346,TRUE,8.3
271,682,Salerno's Italian Restaurant,33.03258239,-97.07113391,TRUE,8.3
272,2031,"Red Hot & Blue  -  Barbecue, Burgers & Blues",33.02038771,-97.07029868,TRUE,8.3
273,509,Thai Ruby,33.02092248,-97.07026398,TRUE,7.9
274,671,Edohana Sushi,33.01159427,-97.07016211,TRUE,8.4
275,689,Pazzo Wood Fired Pizza,33.07039252,-97.08456196,TRUE,7.9
276,638,Salata,33.06495608,-97.0805217,TRUE,7.7
277,1883,"MOOYAH Burgers, Fries & Shakes",33.0367207,-97.07158335,TRUE,9
278,373,Wingstop,33.01500641,-97.06968409,TRUE,7.9
279,498,Burgers & Brats,33.06955854,-97.08191396,TRUE,8
280,1253,Jason's Deli,33.06750721,-97.08092988,TRUE,7.7
281,455,Johnny Brusco's,33.06811046,-97.08029053,TRUE,8.9
282,416,Mellow Mushroom,33.035731,-97.06666375,TRUE,8.6
283,131,Torchy's Tacos,33.072709,-97.084037,TRUE,7.7
284,792,Asahi Teppenyaki & Sushi,33.035223,-97.064079,TRUE,8.2
285,342,Dunkin Donuts,33.01316603,-97.07207946,TRUE,8.7
286,692,Max's Donut Shop,33.10111795,-96.66221721,TRUE,7.4
287,402,Italian Villa Restaurant,33.10354721,-96.66052587,TRUE,8.2
288,946,Allen Cafe,33.10179805,-96.66676419,TRUE,9
289,1261,SONIC Drive In,33.10075912,-96.655928,TRUE,7.7
290,4150,Rudy's Country Store & BBQ,33.12266659,-96.66550604,TRUE,7.9
291,765,5th Street Pizza,33.10390366,-96.6793784,TRUE,8.5
292,273,Big Rays BBQ,33.10121655,-96.665013,TRUE,8.2
293,653,Mexi-Go Restaurant & Grill,33.10042753,-96.67571292,TRUE,8.3
294,3505,Chick-fil-A Twin Creeks Village,33.10194167,-96.68300231,TRUE,9.1
295,197,Zen Chow Asian Diner,33.10198748,-96.65979818,TRUE,7.4
296,2000,Cracker Barrel,33.11858009,-96.67026209,TRUE,8
297,4519,Torchy's Tacos,33.10127677,-96.68730531,TRUE,8.9
298,1656,La Finca Chiquita,33.103907,-96.670933,TRUE,8.8
299,154,Krispy Kreme Doughnuts,33.10225293,-96.67638125,TRUE,8
300,1692,Jason's Deli,33.102185,-96.68431913,TRUE,7.3
301,156,Thai Cafe,33.0906862,-96.67297125,TRUE,8.6
302,679,Joe's Italian Bistro,33.08747926,-96.67017855,TRUE,9
303,2578,Chick-fil-A Stacy Road,33.1291099,-96.650707,TRUE,8.2
304,199,Taco Casa,33.09990626,-96.65665268,TRUE,8
305,3111,Chipotle Mexican Grill,33.102919,-96.67897027,TRUE,8.4
306,928,Pie Five Pizza Co.,33.12916178,-96.65610461,TRUE,7.9
307,2753,P.F. Chang's,33.0897,-96.68228,TRUE,9.2
308,257,Pollo Tropical,33.1013526,-96.6795716,TRUE,8.6
309,70,Soulman's Bar-B-Que,33.1031435,-96.65962802,TRUE,8.4
310,299,Bar Louie,33.12874355,-96.65716944,TRUE,8.2
311,3632,Grimaldi's,33.0888629,-96.68383956,TRUE,8.5
312,655,Silver Thai Cuisine,33.10238496,-96.68381693,TRUE,8.4
313,1245,Scotty P's Hamburgers,33.10356749,-96.67992353,TRUE,9.2
314,5620,BJ's Restaurant and Brewhouse,33.12741173,-96.66023355,TRUE,8.5
315,636,SUBWAY,33.10059907,-96.67968983,TRUE,9
316,1315,Estilo Gaúcho Brazilian Steakhouse,33.09703763,-96.80894201,TRUE,8.4
317,4597,Chick-fil-A Preston Road & Hwy 121,33.09608,-96.80446,TRUE,8.4
318,822,JC's Burger House,33.09578153,-96.80424899,TRUE,8.3
319,339,Yama Izakaya & Sushi,33.09486388,-96.80444779,TRUE,8.3
320,2734,Outback Steakhouse,33.099892,-96.801986,TRUE,8.3
321,4281,Pei Wei,33.09315955,-96.80480042,TRUE,7.9
322,2519,Platia Greek Kouzina,33.10390901,-96.80877686,TRUE,8.1
323,11286,In-N-Out Burger,33.10188503,-96.80467799,TRUE,8.1
324,2594,Goodfella's Woodfired Pizza Pasta Bar,33.08962544,-96.80508084,TRUE,7.8
325,2966,Fuzzy's Taco Shop,33.1009389,-96.80215633,TRUE,8.1
326,2536,California Pizza Kitchen,33.09856085,-96.81133675,TRUE,9.1
327,1457,L&L Hawaiian Barbecue,33.09215727,-96.80419162,TRUE,8.7
328,1898,Fadi's Mediterranean Grill,33.10190113,-96.80690153,TRUE,7.8
329,328,Grub Burger Bar,33.090846,-96.80626,TRUE,8.6
330,2278,Pho Que Huong,33.09485521,-96.80395078,TRUE,8
331,2252,Jason's Deli,33.09625728,-96.8103076,TRUE,7.8
332,117,Lazy Dog,33.092815,-96.80656,TRUE,8.8
333,3110,IHOP,33.0994737,-96.80456812,TRUE,8.4
334,6104,Dave & Buster's,33.09853441,-96.81055784,TRUE,8.5
335,526,Blaze Pizza,33.1067829,-96.8077648,TRUE,7.7
336,5413,Gloria's,33.10478976,-96.80952787,TRUE,7.8
337,687,Best Thai,33.09473306,-96.80469892,TRUE,7.7
