id,checkins,name,latitude,longitude,hasMenu,rating
296,59,Wingstop,30.46930328,-97.59626144,TRUE,9.2
297,1457,McDonald's,30.4515319,-97.6038266,TRUE,8.2
298,14,Domino's Pizza,30.46680812,-97.5962085,TRUE,8.3
299,542,SUBWAY,30.45293964,-97.60413367,TRUE,9
300,131,Cele Store,30.44097872,-97.52310875,TRUE,8.1
301,270,Popeye's Chicken,30.45204648,-97.60374719,TRUE,8
302,1229,Panda Express,30.46550568,-97.59794712,TRUE,8.9
303,783,Taco Bell,30.45474093,-97.60344028,TRUE,7.8
304,1506,Morelia Mexican Grill,30.46968429,-97.59581676,TRUE,8
305,380,El Taquito,30.47619819,-97.57202033,TRUE,9.4
306,0,Coupland Chester Fried Chicken,30.454415,-97.392245,TRUE,8.2
307,89,El Taquito Pflugerville,30.484168,-97.583931,TRUE,8.7
308,1637,Tacodeli,30.290559,-97.826256,TRUE,7.6
309,4431,County Line On the Hill,30.2976478,-97.83584297,TRUE,8.5
310,553,Snap Kitchen,30.29636058,-97.83284076,TRUE,8
311,2400,P. Terry's Burger Stand,30.2910229,-97.82663179,TRUE,8.7
312,766,Kerbey Lane Café,30.29219489,-97.82722132,TRUE,7.9
313,2326,Texas Honey Ham Company,30.280758,-97.80719301,TRUE,8.5
314,2656,Ski Shores Waterfront Cafe,30.33346955,-97.82292283,TRUE,8.5
315,726,Thai Spice,30.3340602,-97.80821519,TRUE,8.5
316,15308,Rudy's Country Store & Bar-B-Q,30.26358944,-97.8155601,TRUE,8
317,2529,360 UNO,30.33667836,-97.80392505,TRUE,8.7
318,1177,Baguette et Chocolat,30.307305,-97.9272606,TRUE,8.8
319,213,MOD Pizza,30.29045674,-97.82638747,TRUE,8.4
320,1058,The Midway Food Park,30.26940241,-97.81610061,TRUE,7.3
321,123,Dock & Roll Diner,30.33810186,-97.80693025,TRUE,8.3
322,1013,Blue Dahlia Bistro,30.27862102,-97.80764705,TRUE,7.6
323,505,Be More Pacific,30.33756533,-97.80467368,TRUE,7.8
324,2221,Thundercloud Subs,30.27315604,-97.800743,TRUE,8.9
325,800,Madam Mam's,30.3070086,-97.93593892,TRUE,8.8
326,274,Jersey Mike's Subs,30.30671195,-97.93584394,TRUE,8.5
327,72,Beirut Authentic Lebanese Cuisine,30.26934116,-97.81712551,TRUE,8.7
328,885,Cafe Blue,30.30979948,-97.94267343,TRUE,8
329,3304,Steiner Ranch Steakhouse,30.39034959,-97.87172556,TRUE,8
330,1308,Cho Sushi,30.38191821,-97.88464308,TRUE,7.7
331,2037,Hat Creek Burger Company,30.29592478,-97.82707214,TRUE,8.9
332,3448,Maudie's Hill Country,30.30468777,-97.93727875,TRUE,7.9
333,121,Blue Basil,30.33839077,-97.80705768,TRUE,8.9
334,7782,County Line on the Lake,30.35706409,-97.78568029,TRUE,8.4
335,547,Austin's Pizza,30.27973813,-97.80542763,TRUE,8.5
336,1450,Shipley Do-Nuts,30.48870477,-97.77228264,TRUE,8.8
337,1463,The League Kitchen & Tavern,30.49767743,-97.77378456,TRUE,8.7
338,4281,Brooklyn Heights Pizzeria Ristorante,30.49920265,-97.777501,TRUE,8.2
339,555,Thai Lada,30.467672,-97.76157,TRUE,9
340,1299,Hunan Ranch,30.49915199,-97.77739352,TRUE,7.6
341,1977,Mesa Rosa,30.48392507,-97.73463249,TRUE,7.9
342,4856,Z'Tejas Mexican Restaurant and Grill,30.4970252,-97.7759908,TRUE,8.9
343,994,LifeCafe,30.47282065,-97.77412952,TRUE,8
344,192,Central Donut,30.456459,-97.767334,TRUE,8.3
345,1022,VertsKebap,30.44554744,-97.74412955,TRUE,9.3
346,736,Donut Taco Palace of Round Rock,30.49629589,-97.72461491,TRUE,8.7
347,2792,Whataburger,30.46944769,-97.79061557,TRUE,8.5
348,1487,Schlotzsky's,30.46827991,-97.79458523,TRUE,9.1
349,1613,Muang Thai,30.47213459,-97.7971824,TRUE,8.2
350,3554,Panera Bread,30.475116,-97.798604,TRUE,9.2
351,103,Smokey Mo's BBQ,30.49953067,-97.77693177,TRUE,7.8
352,17967,Kerbey Lane Cafe,30.44724236,-97.78712271,TRUE,9.1
353,1787,Mama Fu's Asian House,30.47790451,-97.80037604,TRUE,8.7
354,1327,Fazoli's,30.46879007,-97.79111988,TRUE,9.1
355,1298,Hoody's Subs,30.51070759,-97.6943779,TRUE,9
356,1658,Osaka Mansun,30.448519,-97.792241,TRUE,8.9
357,514,Wild Bubba's Wild Game Grill,30.12058462,-97.634997,TRUE,8.2
358,12122,Salt Lick Bar-B-Que,30.20211368,-97.66746998,TRUE,8.4
359,8129,888 Vietnamese Restaurant,30.22948219,-97.73025513,TRUE,8.5
360,1073,Asiana Indian Cuisine,30.19051643,-97.77243655,TRUE,8.9
361,867,Tucci's Southside Subs,30.19005954,-97.7720523,TRUE,7.7
362,68,Crazy Fruits,30.16054501,-97.77771727,TRUE,8.8
363,17577,Trudy's South Star,30.19706933,-97.76729107,TRUE,9.1
364,502,Belladonna Italian Subs,30.21296669,-97.73136654,TRUE,8.6
365,3321,Umi Sushi Bar & Grill,30.20038899,-97.76352525,TRUE,8.4
366,972,Vic's BBQ,30.21653083,-97.73482481,TRUE,8.3
367,549,Chuy's Panadería Bakery,30.19054189,-97.77343428,TRUE,8.9
368,862,Pho Please,30.24312669,-97.72811528,TRUE,8.2
369,2245,Krispy Kreme Doughnuts,30.19973831,-97.76674761,TRUE,7.7
370,2918,Hai Ky,30.23078527,-97.73496803,TRUE,8.3
371,429,P. Terry's Burger Stand,30.23223513,-97.73635775,TRUE,8
372,753,Chipotle Mexican Grill,30.24208741,-97.72739928,TRUE,7.7
373,3687,Waffle House,30.21851778,-97.68825,TRUE,8.1
374,6429,Justine's Brasserie,30.25319169,-97.70063281,TRUE,8.5
375,1776,Launderette,30.25204843,-97.7227269,TRUE,8.3
376,1290,Jacoby's Restaurant & Mercantile,30.2514882,-97.70732244,TRUE,9.1
377,414,Mod Pizza,30.24330254,-97.72819484,TRUE,8.2
378,559,Rosita's Al Pastor,30.24224009,-97.72939879,TRUE,9.2
379,1255,Al Pastor Taco Truck,30.24502292,-97.7516094,TRUE,7.6
380,1198,Taco More,30.24025351,-97.72800921,TRUE,7.8
381,4367,Chili's Grill & Bar,30.198598,-97.76504,TRUE,9.1
